,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
2982,Perfume,Ukyo,,,,,,,,
2983,Perfume|Perfume|Perfume,,,,,,,,,
2984,Perfume,rare black Ferret|muzzled Ferret,,,,,,,,
2985,Perfume,Spatula girl,,,,,,,,
2986,Perfume|Perfume,Perfume|Perfume,,,,,,,,
2987,Perfume|Perfume,,Fair,,,,,,,
2988,Perfume|Perfume,,,,,,,,,
2989,Perfume|Perfume|Perfume,,,,,,,,,
2990,Perfume,Ukyo,,,,,,,,
2991,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
2992,Perfume,those,,,,,,,,
2993,Perfume|Perfume,Ukyo|Perfume|Perfume|Mikado,,,,,,,,
2994,Perfume,,,,,,,,,in both shock and anger
2995,Perfume|Perfume,Perfume|Perfume,,,,,,,,
2996,Perfume,Ucchan,,,,,,,,in an attempt to intercept her beloved
2997,Perfume,Azusa|Ukyo|Ukyo,,,,,,,,a shocked Ukyo|Ukyo
2998,Perfume|Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
2999,Perfume|Perfume,,,,,,,,,
3000,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3001,Perfume|Perfume,Perfume|Perfume,,,,,' s,,,drive her into a coma
3002,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
3003,Perfume,Mousse,,,,,,,,
3004,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,through the red haze of pain that dulled her senses
3005,Perfume|Perfume|Perfume,,,,,,,,,
3006,Perfume,,,,,,She,,,that helped her clear her mind and recover|a sudden jolt of anger
3007,Perfume|Perfume,,quite noticeably angry,,,,,,,
3008,Perfume,Ucchan,,,,,,,,
3009,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
3010,Perfume|Perfume,,,,,,,,,
3011,Perfume,,,,,,Mousse,,,kicked him into semi - consciousness
3012,Perfume,,,,,,Ukyo,,,a sudden new surge of anger
3013,Perfume,Akane,,,,,,,,
3014,Perfume,Ranma,,,,,,,,
3015,Perfume,Spatula,,,,,,,,
3016,smell,the Cha,,,,,Ukyo,,,
3017,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
3018,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3019,Perfume,,,,,,,,as Mikado ' s wind decreased,
3020,Perfume,,such,,,,,,,that it was generating shock waves all through the arena
3021,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume|Perfume|Perfume,,,,,,,,
3022,Perfume,,,The,,,,,,
3023,Perfume,frozen,,,,,,,,that made her heart feel itself like an ice block
3024,Perfume|Perfume,,naked,,,,,,,who gasped and started to seize up in paroxic spasms
3025,Perfume,,,,,,,,,was going into shock
3026,Perfume,,,,,,her,,,
3027,Perfume,,,of the Jacuzzi,,,,,,
3028,Perfume,,,,,,her,,,she felt slightly deflated
3029,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
3030,Perfume,Nabiki,,,,,,,,
3031,Perfume,Ucchan,,,,,,,,
3032,Perfume,,,,,,,a few minutes early,,
3033,Perfume,Nabiki,,,,,,,,
3034,Perfume|Perfume,Ukyo,,,,in Japan,,,,
3035,perky|perky,Amazon,perky|perky,,,,,,,
3036,Perfume,,,,,,to Ukyo ' s father,,,
3037,Perfume|Perfume|Perfume,,,,,,,,,
3038,Perfume|Perfume,Airen,,,,,,,,
3039,Perfume|Perfume,,,,,,,,,
3040,Perfume,Airen,,,,,,,,
3041,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3042,Perfume|Perfume,Airen,,,,,,,,
3043,Perfume|Perfume,pigs|Perfume|Perfume,,,,,,,,
3044,Perfume|Perfume,,,,,,,,,
3045,Perfume|Perfume,,bad|very,,,,,,,
3046,Perfume|Perfume,,,,,,,,,
3047,Perfume|Perfume,,,,,,,,,
3048,Perfume|Perfume,Airen,,,,,,,,
3049,Perfume|Perfume,,,,,,,,,
3050,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
3051,Perfume|Perfume,Perfume|Perfume|the grass,,,,,,,,
3052,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3053,Perfume,,weak,,,,,,,
3054,Perfume,,,,,,,,,make mother happy
3055,Perfume,Ranran|Linlin,,,,,,,,
3056,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3057,Perfume|Perfume|Perfume,,,,,,,,,
3058,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3059,Perfume,,,,like Ranma,,,,,
3060,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
3061,Perfume|Perfume|Perfume,,,,,,,,,
3062,Perfume|Perfume,,,,,,,,,
3063,Perfume,Ranma,,,,,,,,
3064,Perfume|Perfume,Shampoo|cousin,,,,,,,,
3065,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3066,Perfume,,,,,,,,,slightly confused and frustrated
3067,Perfume|Perfume,,weak,,,,,,,
3068,Perfume,,,,like nerves,,,,,
3069,Perfume,,,,like,,,,,
3070,Perfume|Perfume,,,,,,,,,
3071,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume|Perfume|Perfume,,,,,,,,
3072,Perfume|Perfume,,,,,,,,,
3073,Perfume,Airen,,,,,,,,
3074,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3075,Perfume|Perfume|Perfume,Perfume|Perfume,very happy,,,,,,when I around you,
3076,Perfume|Perfume,Airen,very happy,,,,,,,make Perfume|Perfume
3077,Perfume|Perfume,Perfume|Perfume,,,,,I,,,
3078,Perfume|Perfume,,,,,,,,on,
3079,Perfume,,,,,,I,,if|for busy crowd of students,
3080,Perfume,,,,,,,,when boys try be fresh with me,
3081,Perfume glom,,,,,,,,,
3082,Perfume|aphrodisiac,,,,,,,,,
3083,Perfume|Perfume,,,,,,,,,
3084,Perfume,Ukyo,,,,,,,,
3085,Perfume,,,,,,One goon,,,
3086,Perfume,,,,,,Mousse,,,
3087,Perfume,Ukyo ' s Bakers peel|Mousse,,,,,,,,
3088,Perfume,cousin,,,,,,,,that bring shame to family
3089,Perfume|Perfume,Perfume|Perfume|cousin,,,,,,,,
3090,Perfume,Xian,,,,,,,,
3091,Perfume,Shampoo,,,,,,,,
3092,Perfume,cousin|Lotion,,,,,,,,
3093,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
3094,Perfume|Perfume,Perfume|Perfume|cousin,,,,,,,,
3095,Perfume,Lotion,,,,,,,,
3096,Perfume|Perfume,Shampoo|Perfume|Perfume|cousin,,,,,,,,
3097,Perfume,cousin|Shampoo,,,,,,,,
3098,Perfume|Perfume,Saotome|Perfume|Perfume|Kuonji Ukyo,,,,,,,,
3099,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3100,Perfume|Perfume,Coral Pink Lotus,,,,,,,,
3101,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3102,Perfume|Perfume|Perfume,,,,,,,,,
3103,Perfume,bandana,,,,,,,,
3104,Perfume,Fist of the North Star,,,,,,,,
3105,Perfume|Perfume|Perfume,Shampoo|Tendo|Perfume|Perfume|Kuonji,,,,,both|both girls,,,greatly pleased both|both|left Ukyo feeling a little bit flustered
3106,Perfume,Ukyo|Shampoo,,,,,,,,
3107,Perfume,Bakusai,,,,,,,,
3108,Perfume,Shampoo|Ryoga,,,,,,,,
3109,Perfume,Shampoo,,,,,,,,
3110,Perfume,,,,,,Mousse,,,
3111,Perfume|Perfume,Perfume|Perfume|Shampoo|Ukyo|Ranma,,,,,,,,
3112,Perfume|Perfume,,,,,,,,,
3113,Perfume,Shampoo,,,,,He,,,
3114,Perfume,Shampoo|Nabiki|Kuonji,,,,,,,,
3115,Perfume|Perfume,,,,,,,,,that caused her to blush
3116,Perfume|Perfume|murmured,,,,,,the|the Okonomiyaki|Okonomiyaki chef|chef,,,that caused the|the Okonomiyaki|Okonomiyaki chef|chef to wince
3117,Perfume|Perfume,Perfume|Perfume,,,,the entrance to Ucchan ' s restaurant,,,,
3118,Perfume|Perfume,the|bowls of ramen,,,,towards the kitchen,the customers,,,
3119,Perfume|Perfume,,,,,,,,,
3120,Perfume|Perfume,Airen|Perfume|Perfume,,,,,,,,
3121,Perfume,Shampoo,,,,,,,,
3122,Perfume,Nabiki,,,,,,,,
3123,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,had a sudden mischievous|that prompted her to
3124,Perfume,Shampoo,,,,,,,,
3125,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
3126,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3127,Perfume|Perfume,,,,,,,,,
3128,Perfume|Perfume,Perfume|Perfume|Shampoo,,,,,,,,
3129,Perfume,,,,,,,,,caused you to
3130,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
3131,Perfume,the Amazons,,,,,,,,
3132,Perfume|Perfume,,,,,,,,,
3133,Perfume,either Airen,,,,,,,,
3134,Perfume|Perfume,Perfume|Perfume,,,,,,,,that would have melted butter
3135,Perfume,,,on,,,my,,,
3136,Perfume,,,The sea breeze,,,the|she,,,with a
3137,Perfume,,,,,,she,,,' s blush
3138,Perfume,,,,,,she,,,
3139,Perfume,Ukyo,,,,,,,,
3140,Perfume,with|with,,,,,,,When I ' m with|with,
3141,Perfume,Shampoo,,,,,,,,
3142,Perfume|Perfume|Perfume,,,,,,,,,made Perfume|Perfume almost believe
3143,Perfume,,,,,on school grounds,,,,
3144,Perfume|Perfume,,,,,,,,,
3145,Perfume,,,,,a small village named Joketsuzoku,,,,
3146,Perfume|Perfume,,,,,,,,,
3147,Perfume,,,,,,she,,,
3148,Perfume,,,,,,Mousse,,,
3149,Perfume,,,,,,,,,had to smile to
3150,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3151,Perfume,,,,,,Mousse,,,
3152,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3153,aroma,the|Sushi,,,,,,,,
3154,Perfume,Ukyo,,,,,Nabiki,,,
3155,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3156,Perfume|Perfume,Nabiki|Ukyo|Perfume|Perfume,,,,,,,,
3157,Perfume,Nabiki ' s legs,,,,,,,,
3158,Perfume,Ukyo|Nabiki ' s,,,,,,,,
3159,Perfume,,,,,,,,,giving her feet and ankles a bath|bringing her attentions upward
3160,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3161,Perfume,Nabiki|Ukyo,,,,,,,,
3162,Perfume,Cousin ',,,,,,,,
3163,Perfume,,,,,,Nabiki,,,
3164,Perfume|Perfume,Nabiki|Perfume|Perfume,,,,,,,,
3165,Perfume,Nabiki,,,,,,,,
3166,Perfume,Ukyo,,,,,,,,
3167,Perfume,,,,,,Nabiki|Nabiki,,,that caused Nabiki|Nabiki to gasp in astonishment
3168,Perfume,His|he,,,the male version of Nabiki,,,,,
3169,Perfume|Perfume,,,,,,,,,
3170,Perfume,Ukyo,,,,,,,,
3171,Perfume,,,,,,,,,In
3172,Perfume,,,,,,his,,,attempting to elicit a response
3173,Perfume,body,,,,,she,,,
3174,Perfume,,male,,Instant Nannichuan potion,,,,,
3175,Perfume,,,,,,,,,could not help but wince and feel his cheeks burn with hot shame
3176,Perfume,,,,,,,,,to suppress a shudder
3177,Perfume,Ukyo,,,,,,,,
3178,Perfume|Perfume,,,,,,,,,
3179,Perfume,the Amazon,,,,,her,,,
3180,Perfume,cats,,,,,,,,
3181,Perfume,,weak,,,,,,,
3182,Perfume,',,,,,,,,
3183,Perfume|Perfume,Perfume|Perfume,,,,,,,,stimulate the pleasure - centers|that they would experience an increasing desire to
3184,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
3185,Perfume,,,,,,she,,,
3186,Perfume|Perfume,Shampoo,,,,,she,,,
3187,Perfume,Ukyo,,,,,,,,an unfulfilled libido
3188,Perfume,,,,,,,,,fight the urge to glance
3189,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
3190,Perfume,Airen,,,,,,,,
3191,Perfume,body,,,,,,,,
3192,Perfume,,weak,,,,,,,
3193,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3194,Perfume|Perfume,Perfume|Perfume,,,,,,,,with an expression of intense discomfort
3195,Perfume|Perfume,,,,,,,,,
3196,Perfume,,,,,between the gap between her thighs,,,,
3197,Perfume|Perfume,',,,,,,,,
3198,Perfume,,,,,,his,,,
3199,Perfume,Kuonji Ukyo,,,,,he,,,
3200,Perfume,,,,,,He|' s,,,
3201,Perfume|Perfume,Ukyo,,,,,,,,
3202,Perfume,Kuonji,,,,,,,,
3203,Perfume|Perfume,,,,,,,,,
3204,Perfume|Perfume,,,,like Perfume|Perfume,,,,,
3205,Perfume|Perfume,,,,,,,,,
3206,smell,of fish sausages,,,,,She,,,
3207,smells|sounds,,strange,,,,her,at every turn,,
3208,smell,Some bones,very old|far more recent,,,,,,,
3209,stench,,very little,,,,,,,
3210,Perfume,Ucchan,,,,,,,,
3211,Perfume|Perfume,Nabiki|She,,,like Perfume|Perfume|like they exchanged curses,,,,,
3212,Perfume,Kuonji,,,,,,,,
3213,Perfume,Kuonji,at full strength,,,,,,,
3214,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3215,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3216,Perfume,,Amazon,,,,,,,
3217,Perfume|Perfume,,,,,,,,,
3218,Perfume|Perfume,,,,,,,,,
3219,Perfume|Perfume,,,,,,,,,
3220,Perfume|Perfume,,,,,,,,,
3221,Perfume,,,,,,,in,,
3222,Perfume,,,,,,his,,,
3223,Perfume,,,,,,he,,,causing his body to collapse in
3224,Perfume,,,,,,she,,,
3225,Perfume|Perfume,her Airen,,,,,,,,
3226,Perfume,Ucchan,,,,,,,,
3227,Perfume,Ukyo,,,,,,,,
3228,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3229,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3230,Perfume,,,,,,,at the,,
3231,Perfume|Perfume,,,,,,,,,
3232,smelling,,nice,,,,,,,
3233,Perfume,,,,,,,,,induced instant paralysis while
3234,perfume,Ukyo,,,,,,,,
3235,Perfume|glomming,,naked,,,,,,,
3236,perfume,P,,,,,,,,
3237,Perfume|Perfume,Perfume|Perfume|Nabiki,,,,,both|both women|women,,,startling both|both women|women from their entranced gaze
3238,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3239,Perfume,the|the,,,,,,,,
3240,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,that made both girls suddenly appear nervous
3241,Perfume|Perfume,Perfume|Perfume|Shampoo,,,,,,,,
3242,smell|stench,of rotting timbers,lingering,the|the,,the|the deck,You,,,
3243,stinks,This,,,,,,,,
3244,Perfume,the,,,,,,,,
3245,Perfume|Perfume,Perfume|Perfume ' s fur,,,,,,,,
3246,Perfume,,,,,,I,,,
3247,Perfume,the best Okonomiyaki,,,,,,,,
3248,Confusing|Confusing,,Confusing|Confusing,,,,,,,
3249,Perfume,absorption,,,,,,,,
3250,Perfume,,,,,through the market districts of the Furinkan business district,,,as,
3251,Perfume|Perfume,Perfume|Perfume,,,,,She,,,
3252,Perfume,,,,,,,,,left her feeling a little breathless
3253,Perfume,,,,,,her,,,
3254,Perfume,,,,,,Her|she,,,
3255,Perfume|Perfume,Kuonji|Kuonji,,,,,,,,
3256,Perfume,,,,,,,,,fought the urge to
3257,Perfume|Perfume,,,,,,,,,
3258,sniffed|perfume|smelled,the woman ' s|the woman|of lilacs|incense,,the air,,,She,,,
3259,Perfume|Perfume,,,,,,,,,threat to Perfume|Perfume ' s very soul
3260,Perfume,,,,,,she,,,measure of wary respect bordering on outright dread
3261,Perfume|Perfume,Ukyo,,,,,,,,
3262,stench,,peculiar,,,,she|her|her,,,made her|her wince slightly|a taste like acid in her mouth
3263,Perfume,,bad,,,,,,,
3264,Perfume|Perfume,,,,,,,,,
3265,Perfume|Perfume,Ukyo,,,,,he,,,
3266,Perfume|Perfume,Perfume|Perfume,,,,,,,,"causing Ranma to go """
3267,Perfume,,,,,,He,,,
3268,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3269,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3270,Perfume,Nabiki,,,,,,,,
3271,sniffed,it,,,,,,,,
3272,sniffed|smells,soy|That|Sukiyaki,so good,the,,,,,,
3273,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3274,Perfume|Fum|Fum|Perfume,Pur - Fum|Fum,,,,,,,,
3275,Perfume|smell,,chemical,,,in her beloved Ucchan,she,,,
3276,Perfume,,uneasy,,,,,,,
3277,Perfume,Hercules,,,,,the Amazons,,,
3278,Perfume,,,,,,,,,suffering a similar reaction
3279,Perfume,,,,,,to the others,,,
3280,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3281,Perfume,,,,,,he,lately,,
3282,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3283,sniff,the thing,,the air,like a bloodhound,,,,,
3284,Perfume|smell,variety of reptile,good,,,,,,,
3285,Perfume,,,,,,she,,,
3286,Perfume,Ucchan,,,,,she,,,
3287,sniffed|scent,,particular,the air,,a desk,it,,,
3288,scent,,,,,out the door,It,,,
3289,sniff,,,the air,,,,,,
3290,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
3291,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3292,snuffing,,,the air,,,,,,
3293,Perfume,a falling metal girder,,,,,,,,
3294,Perfume,,,,,,,,,who gasped in even greater pain and seemed almost to faint
3295,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,out of her catatonic state to blink her eyes
3296,Perfume|Perfume,,,,,,,,,
3297,Perfume,Nabiki|Principal,,,,,,,,
3298,foul|foul,,foul|foul,,,,,,,
3299,scent,of that,,,,,it,,,
3300,famished,,,,,,He,,,
3301,Perfume|smell|Perfume,she,all that bad,,,,,,,
3302,Perfume|Perfume,,,,,,Perfume|Perfume,,,
3303,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3304,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3305,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3306,sniffed,,,the air,,,,,,
3307,Perfume,,,,,down the alleyway,,,,
3308,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3309,smell,a rat,,,,,I|I,,,
3310,smell,warm leathery thing,,,,,She,,,
3311,Perfume,Ranma,,,,,,,,
3312,stench,of the waterway,,,,,her|she,,,
3313,smell|scent,of the creature|this,tangy|acid|unpleasant|far more palatable,,like,,she,,,
3314,Perfume,,,,,,she,,,
3315,Perfume,,,,,,,,,turn to either knock her out or support her wife in
3316,Perfume|Perfume,,,,,,Perfume|Perfume,,,
3317,Perfume,,,,,in the sewer system,,,,
3318,Perfume,,,,,,,,,Nabiki|with a start of alarm
3319,Perfume,,,,,,,,,that caused Akane to frown a little
3320,Perfume|Perfume|smell,Perfume|Perfume|of fish,appealing,,,,,,,
3321,whiff,of all the seafood,,,,,it,,,
3322,Perfume|Perfume,Ukyo|Ranma|Perfume|Perfume,,,,,,,,
3323,stench,,awful,The wind,,,,,,
3324,stench,the pile of fish,,,,,Hinako - Sensei,,,
3325,Perfume|smell,Nabiki,,the wind,,,,,,it very hard not to wretch|becoming increasingly distressed
3326,sniff,,,the air,,,,,,
3327,smell,The Lizard,very distinctive,,,,,,,
3328,smell,fish,,,,,its|it,,,
3329,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
3330,scent,the other one ' s,,,,,he,,,
3331,Perfume|sniffing,the newly arrived Big G,,the air,,,they,,,
3332,Perfume,some,,,,,,,,
3333,Perfume,Ucchan,,,,,,,,
3334,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3335,Perfume,Ranma,,,,,,,,
3336,Perfume,,,,,,an,,,
3337,Perfume,,,,,,' s,,,earning a non - plussed look of surprise from
3338,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3339,Perfume|Perfume,Shampoo|Ukyo,,,,,,,,caused a wince from Perfume|Perfume|a sympathetic reaction to her cousin
3340,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3341,Perfume,,,,,,,,during the monsoon,
3342,Perfume|Perfume,Ukyo|Perfume|Perfume|Miss Hinako|Aiko|Beiko|Ryonami|Gosunkugi|Tatewaki,,,,,,,,
3343,Perfume,Shampoo,,,,,,,,
3344,Perfume|Perfume|Perfume|Perfume,,,,,,,,,
3345,Perfume,,,,,,Mousse,,,
3346,Perfume|Perfume,Perfume|Perfume|Nabiki,,,,,,,,
3347,Perfume|Perfume,Perfume|Perfume|Mousse,,,,,,,,
3348,smelling,salts,,,,,,,,
3349,Perfume,Ukyo,,,,,,,,
3350,Perfume,Nabiki,,,,,,,,
3351,Perfume,the,,,,,,,,
3352,Perfume,,very nervous,,,,,,,
3353,Perfume,Shampoo,,,,,,,,
3354,smell,of her,,,,,Mousse|he,,,
3355,Perfume,,,,,,,,,enough even to hurt you back serious
3356,Perfume|Perfume,Perfume|Perfume,,,,,Mousse,,,
3357,Perfume,Ranma|the,,,,,,,,
3358,Perfume,Keiko,,,,,he,,,
3359,Perfume|Perfume,Ukyo,softer,,,,,,,
3360,Perfume,,temporarily male,,,,,,during their struggles with Madam Lao,again left Ranma feeling more than somewhat excluded
3361,Perfume|Perfume,Shampoo by|Ukyo by,,,,,,,,with her hyper - acute system
3362,Perfume,,as bad,,,,,,when she was scratched or incapacitated,
3363,Perfume,Ranma,,,,,,,,
3364,Perfume,,,,,into the woods,,,,
3365,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3366,nose|Perfume|Perfume,it|Perfume|Perfume,,,,,,,,
3367,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3368,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3369,Perfume|Perfume,Perfume|Perfume|Ucchan,,,,,,,,
3370,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3371,Perfume,Nabiki|Ukyo|Shampoo,,,,,,,,
3372,Perfume,Nabiki|Ucchan,,,,,,,,
3373,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3374,Perfume,a pair of aluminum Tonfas,,,,,,,,
3375,Perfume,her,,,,,,,,
3376,Perfume,,,,,,He,,,
3377,Perfume,,,,,,he|him,,,
3378,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3379,smell,,,,,,her,,,
3380,Perfume,Ucchan,,,,,,,,
3381,Perfume,,,,,,,,whenever you ' re near,
3382,Perfume,Nabiki,,,,,,,,
3383,Perfume,the tree,,,,,he,,,
3384,Perfume,,far greater in intensity,,,,,,,
3385,smelled,she,pretty nice,,,,,,,
3386,Perfume,Ucchan,,,,,,,,
3387,Perfume,with,,,,,,,,
3388,Perfume,Ukyo|Shampoo,,,,,,,,
3389,Perfume,,,,,their campfire,,,,
3390,Perfume,,,,,at the edge of the camp,everyone,,,
3391,Perfume,Ranchan,,,,,,,,
3392,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3393,Perfume,Nabiki|with Shampoo,,,,,,,,
3394,Perfume,,,,,,he,,,
3395,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3396,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3397,Perfume,She,,,,,,,,
3398,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3399,Perfume,Ukyo,,,,,,,,
3400,Perfume,Ranma,,,,,,,,
3401,Perfume,Airen,,,,,,,,
3402,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3403,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3404,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3405,Perfume|bloom,,,the forest canopy,,,,,,that painted her cheeks with rosy tincture
3406,Perfume,,pretty formidable,,,,you,,,
3407,sniff,,slight,,,,,,,
3408,Perfume|Perfume,Shampoo|Ukyo|Perfume|Perfume,,,,,,,,
3409,Perfume,Shampoo|Ranma|Ukyo,,,,,,,,
3410,Perfume,Ukyo,,,,,,,,
3411,Perfume,,,,,,Mousse,,,
3412,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
3413,smells,anything,,,like a fire,,you,,,
3414,Perfume,Shampoo,,,,,,,,
3415,Perfume,,,,,,,,,would slice me into Sushi
3416,snuffs,,,,,,the caged animals,,,
3417,Perfume,Kuonji,,,,,,,,
3418,Perfume,Ukyo,,,,in the Amazon village,,,,
3419,Perfume,Ukyo,,,,,,,,
3420,Perfume,Ukyo|Shampoo by Nabiki,,,,,,,,
3421,Perfume,,,,,,the other women,,,
3422,Perfume,Shampoo,,,,,,,,
3423,Perfume,Shampoo,,,,,,,,
3424,Perfume|Perfume,Perfume|Perfume|Shampoo,,,,,,,,
3425,Perfume|smell|aura,many herbs and spices,such|happy,,,avoid the kitchen|the,her|her,,when it was in service,that one could almost think that they had walked onto the stage of Anime by Disney .
3426,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
3427,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3428,smelled,You,,,like a complete novice,,,,,
3429,Perfume,Balm,,,,,,,,
3430,Perfume,Lotion,,,,,,,,
3431,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
3432,smells,this,,,of a coup d ' etat,,,,,
3433,Perfume,,,,,around our house,,,,
3434,Perfume,with,,,,,,,,
3435,Perfume,Kurumi,,,,,him,,,
3436,Perfume|smelly|smelly|scent,of all those animals,smelly|smelly,,,,my,,,
3437,sniffed|scent,,familiar,the breeze,,,,,,that drew an immediate glance
3438,smell,,,,,,Shampoo,,,
3439,Perfume,Mousse,,,,,,,,
3440,Perfume,Poultice,,,,in one of the neighboring villages in the,,,,
3441,Perfume,,,,,outside of her village,,,,
3442,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3443,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3444,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3445,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,Mousse,,,
3446,Perfume,,,,,,you|you,,,
3447,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,that made her suddenly interpose herself
3448,Perfume|Perfume,,,,,,,,,
3449,Perfume|hypersenses,,,,,at the center of the Circus complex,,,,
3450,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
3451,Perfume|Perfume,Perfume|Perfume,,,,,,,,that caused her face to be transfixed with complete and utter amazement
3452,Perfume,,very,,,,,,,
3453,Perfume,,,,,towards the other end of the circus arena,,,,
3454,Perfume,Genma|control Ailurodopa melanoleuca,,,,,,,,
3455,Perfume,,,,,,,,,feeling the rising heat of a battle - aura forming
3456,Perfume,,,,,,,,,got an outraged protest
3457,Perfume,,,,,,I,,,
3458,Perfume,you,,,,,,,,
3459,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3460,Perfume,Kuonji,,,,,,,,
3461,Perfume,the ancient pervert,,,,,,,,
3462,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3463,Perfume|Perfume|OLD,Perfume|Perfume,,,,,,,,
3464,scent,her,,,,,she,,by switching her body lotions,
3465,Perfume|Perfume,Perfume|Perfume|Shampoo,,,,,,,,
3466,Perfume|Perfume,Perfume|Perfume,,,,,,,,
3467,Perfume,Lotion,,,,,,,,
3468,Perfume,Nabiki,,,,,,,,
3469,Perfume,,,,,,Ranma,,,
3470,Perfume,,,,,,My,,,
3471,sniffing,,,,,,Talbain|he,,,
3472,Perfume|Perfume,Perfume|Perfume|Nabiki,,,,,,,,
3473,Perfume,,,,,,Cologne,,,
3474,Perfume,Ucchan,,,,,,,,released some of her tension
3475,Perfume,,,,,,,,,she was brought sharply back to earth
3476,Perfume|Perfume,Sugar|Perfume|Perfume,,,,,,,,
3477,Perfume,Whale Puke,,,,,,,,
3478,Perfume,Ranma,,,,,,,,
